ID_REF,GSM41252,GSM41253,GSM41254,GSM41255,GSM41256,GSM41257,GSM41258,GSM41259,GSM41260,GSM41264,GSM41265,GSM41266,GSM41279,GSM41280,GSM41281,GSM41785,GSM41786,GSM41787,GSM41788,GSM41789,GSM41790,GSM41791,GSM41792,GSM41793,GSM41797,GSM41798,GSM41799,GSM41811,GSM41812,GSM41813
YAL009W,-0.26143,-0.115691,-0.15707,-0.115926,-0.450345,0.084002,-0.133955,0.192557,0.100328,-0.0562176,0.0443253,0.240354,-0.034895,-0.041382,-0.126471,-0.187273,-0.203012,0.021239,0.0196747,-0.243071,-0.134409,-0.193429,-0.124747,-0.212691,-0.20697,0.0698867,-0.0139201,-0.112988,-0.133694,-0.0439075
YAL010C,-0.226179,-0.206399,-0.0931926,-0.259433,0.108133,-0.202018,0.0354703,0.10198,0.215401,0.15249,0.0608643,0.219497,-0.143955,-0.0587802,-0.185479,-0.296089,-0.122246,-0.209511,-0.151719,-0.0906432,0.0220334,-0.0161901,-0.172107,0.0446017,0.353877,0.158471,0.0270544,-0.245614,-0.353203,-0.373348
YAL011W,-0.153227,0.113235,0.149852,-0.232061,-0.250883,0.11039,-0.356756,-0.0555128,-0.175955,0.0767516,0.481165,0.0360753,-0.0701591,-0.138676,-0.222079,-0.151346,-0.101348,-0.176796,0.031983,-0.197978,-0.341554,0.142231,-0.0675317,-0.155031,-0.107037,0.0902453,-0.12702,-0.101768,-0.11001,-0.116313
YAL012W,0.238148,0.32307,0.509345,-0.0131453,0.153364,-0.1338,0.20526,-0.158963,-0.0206582,0.929953,0.659556,0.961597,-0.0152285,0.0952527,0.165029,0.0825415,0.12984,0.130252,0.282922,0.17676,0.11656,0.0837042,0.209089,0.0508544,0.275171,0.174143,0.0324157,-0.389198,-0.253758,-0.464893
YAL013W,-0.166858,-0.22039,-0.479539,-0.0928635,-0.271007,0.11358,0.630994,0.441898,0.12647,0.401573,0.0870378,-0.0602894,-0.253857,-0.223734,-0.25591,-0.053461,0.0950644,-0.0457222,-0.236427,-0.150348,-0.12595,-0.0494629,0.0129334,-0.0825572,0.00743867,0.219882,0.140119,-0.0889729,-0.171502,-0.145992
YAL014C,-0.288584,-0.292617,-0.226214,-0.108911,-0.0125566,-0.136946,0.175895,0.244509,0.331497,0.175779,-0.0322697,0.0155294,-0.00678983,-0.0961996,0.0251979,-0.0456304,-0.203401,0.016528,-0.268599,0.0366532,-0.238755,-0.112117,-0.101523,-0.222239,0.099907,-0.0484233,-0.136496,-0.000281381,-0.102366,-0.158772
YAL015C,-0.0680595,-0.155828,0.0188588,-0.0245221,0.112679,0.397433,0.388462,0.988801,0.75605,0.083634,0.251237,0.219564,-0.37516,-0.223843,-0.269585,-0.00617396,0.0196815,-0.0112402,-0.171891,-0.106503,-0.222708,-0.165898,0.0734006,-0.0520653,-0.236417,-0.00671217,-0.222108,-0.159569,-0.0891558,-0.166707
YAL016W,-0.182427,-0.15036,-0.307303,0.0799975,0.30148,-0.120659,0.449079,0.31904,0.566147,0.0070753,-0.0109966,0.0673164,-0.15267,-0.167879,-0.0400034,-0.0903157,-0.00698957,-0.122911,-0.28424,0.0529499,-0.0496376,-0.2438,-0.0966359,-0.237226,0.235534,0.0305019,0.0806279,0.0559614,0.0391337,-0.147646
YAL017W,-0.465528,-0.549555,-0.762099,-0.389354,-0.385051,-0.392814,0.530203,0.966208,0.636869,0.0506255,0.333287,0.0739821,-0.366498,-0.373204,-0.37721,-0.0321925,0.197637,0.100334,-0.472126,-0.322786,-0.316025,-0.539723,-0.578569,-0.577562,-0.230543,-0.062948,-0.155212,0.382872,0.305909,0.218801
YAL018C,-0.0314153,0.145221,0.654267,0.499157,0.808,-0.563545,0.0491477,-0.465141,0.618993,-0.436642,0.482053,-0.168447,0.488736,-0.227725,-0.139293,-0.479923,0.539941,0.714791,-0.247214,1.57011,0.475001,0.490586,0.691449,0.156644,0.751123,0.315124,0.714706,0.146733,0.276819,0.455765
YAL019W,0.0531011,0.127024,0.328059,-0.388891,-0.0546279,-0.124578,-1.59236,-0.927597,-0.861207,-0.580418,-0.308619,-0.465681,0.32549,0.180003,0.20848,0.0119377,0.178536,-0.101659,-0.0257043,0.201498,0.00998156,0.254846,0.13482,0.161006,-0.0142517,-0.0417393,0.201923,-0.263716,-0.216608,-0.0656725
YAL020C,0.0683838,0.0167886,0.0866164,0.0357853,0.15054,-0.0988616,0.217062,0.136565,0.0885272,-0.202523,-0.190527,-0.121754,0.0530501,-0.0354678,0.084865,0.170612,0.0319207,0.233238,0.0569743,0.208129,-0.108969,0.0703576,0.255667,-0.0178781,0.170899,0.045764,0.13653,-0.12048,-0.0979285,-0.272671
YAL021C,-0.15276,-0.256198,-0.404868,-0.141283,-0.30026,-0.23611,0.237127,0.142185,-0.19105,0.387425,0.01833,0.204862,0.047099,-0.0829627,-0.194957,-0.281726,0.0247721,-0.0969168,-0.199214,-0.108762,-0.320921,-0.0619054,-0.329494,-0.16203,-0.0937562,0.0713638,0.284679,0.0714906,-0.0258051,-0.0367426
YAL022C,0.151128,0.174359,0.495789,0.253258,0.482874,0.00545742,0.459834,0.252901,0.212138,0.456547,0.16809,0.461604,0.31106,0.187944,0.156242,0.226935,0.210035,0.225341,0.0825259,0.362204,0.189624,0.212645,0.418994,0.241334,0.22181,0.182435,0.0958967,-0.189413,0.00159533,-0.228244
YAL023C,-0.0294737,0.197836,-0.0471953,-0.138502,-0.292757,0.0254016,-0.201104,-0.412113,-0.259625,-0.703391,-0.517774,-0.449732,0.299444,0.205528,0.225623,-0.216688,0.015408,-0.108897,0.0900045,-0.0453683,-0.0219023,-0.104901,-0.0920416,0.0583658,0.190348,0.14081,0.0213907,0.510784,0.160113,0.134134
YAL024C,-0.0684329,-0.0230619,0.0177436,-0.0676744,0.116026,-0.0270221,0.0647957,-0.374581,-0.160043,0.270896,0.0276534,0.403234,0.064441,-0.0186192,-0.00396582,-0.157079,0.0322751,-0.0127372,-0.0543076,0.200683,0.0777221,0.0848468,0.0128998,0.0939613,0.360985,-0.00562307,0.116924,-0.360508,-0.0433077,-0.216963
YAL025C,0.371394,0.400069,0.66884,0.080294,-0.223099,-0.0746202,-2.17418,-1.95438,-1.6388,-1.07098,-0.737693,-0.75728,0.291015,0.330275,0.305868,-0.0389029,-0.0570025,-0.504147,0.541229,0.299879,0.423328,0.655452,0.406715,0.564246,-0.277368,-0.320005,-0.0678485,-0.471585,-0.527488,-0.480937
